destination,count
ORD,906039
ATL,902435
DFW,780439
LAX,575351
PHX,501116
IAH,449990
DEN,442088
LAS,402194
DTW,396479
MSP,373897
EWR,365068
SFO,341415
CLT,318782
BOS,316253
SLC,303087
PHL,303048
LGA,302242
STL,299033
CVG,292539
MCO,288257
SEA,266088
BWI,255820
DCA,230809
SAN,218553
IAD,216867
JFK,207424
PIT,202002
MDW,194275
TPA,191894
CLE,187421
MIA,182442
OAK,173320
FLL,165849
SJC,162498
MCI,158210
HOU,152772
MEM,152726
BNA,151702
PDX,148021
RDU,130374
DAL,128829
MSY,122881
SNA,121391
SMF,120344
AUS,113787
SAT,105951
IND,103407
CMH,99783
ABQ,98669
ONT,95868
BDL,88982
HNL,88634
PBI,77174
BUR,75873
JAX,75044
RNO,74936
PVD,70620
SJU,69459
RSW,64159
ELP,59926
OKC,59577
BUF,58972
SDF,58676
TUS,57427
TUL,57394
MKE,56769
OMA,55629
BHM,55110
ORF,50490
MHT,46783
ANC,46541
RIC,46082
LIT,41848
ROC,41232
GSO,39695
ALB,39221
BOI,38219
GEG,36841
COS,34962
GRR,34582
DAY,34131
OGG,33136
SYR,32632
PSP,30837
DSM,28481
JAN,28409
GSP,26826
ICT,26761
CHS,26684
ISP,25916
TYS,25712
SAV,23784
FAT,22941
SBA,22717
MSN,22651
LBB,22181
LGB,21892
CAE,21511
XNA,21474
HSV,21144
MDT,20731
PWM,20222
MAF,19778
HPN,19686
BTR,19650
PNS,19258
CID,18742
AMA,18564
LIH,17707
SRQ,17552
SHV,17517
LEX,17223
KOA,17107
CRP,15924
SGF,15547
BTV,14259
GRB,14241
ABE,13721
CAK,13535
HRL,13381
MRY,12963
MOB,12701
FAI,12519
FNT,12136
FSD,11990
FWA,11131
GPT,10958
MLI,10868
VPS,10714
MYR,10554
BIL,10496
EUG,10249
EGE,10237
SBP,10116
LAN,9913
MFE,9835
JNU,9799
STT,9792
FAR,9445
BZN,9373
MFR,9123
MBS,9095
AZO,8655
ITO,8598
EVV,8567
PHF,8411
TLH,8361
SBN,8349
CHA,8338
ROA,8321
DAB,8177
CRW,7907
MSO,7796
PIA,7791
BGR,7696
TOL,7584
LFT,7574
GTF,7479
ILM,7368
RAP,7172
JAC,7132
AVL,7019
RST,6973
HDN,6714
LNK,6569
MLU,6560
BFL,6491
GJT,6488
MGM,6337
SWF,6267
PSC,6002
KTN,5926
MLB,5827
ACV,5745
BMI,5723
AVP,5569
MTJ,5544
ABI,5457
TYR,5309
FCA,5288
GRK,5268
BIS,5236
ACT,5202
CLL,5166
ATW,5155
AGS,5145
CMI,5089
TRI,5028
TVC,4972
IDA,4821
SGU,4808
FSM,4779
RDM,4613
CPR,4559
PFN,4515
LRD,4478
AEX,4429
ASE,4378
LAW,4236
SPS,4164
LSE,4154
SJT,4127
FAY,3953
DRO,3886
SUN,3836
HLN,3749
TWF,3734
YUM,3727
DLH,3665
ILE,3501
CLD,3463
GNV,3254
EKO,3227
TXK,3194
BET,3014
MOT,3002
BRO,2972
SIT,2968
CHO,2963
RDD,2954
MOD,2913
SMX,2864
ERI,2839
GFK,2838
PIH,2726
EYW,2710
OME,2706
OTZ,2669
CSG,2552
BGM,2512
DHN,2481
DBQ,2471
GGG,2412
BPT,2327
OXR,2322
GUC,2290
BRW,2048
GTR,1986
LCH,1984
ABY,1981
PSG,1963
WRG,1963
CDV,1960
YAK,1960
STX,1875
VLD,1863
ELM,1842
ADQ,1842
MCN,1766
CIC,1748
SCE,1745
BQK,1729
MEI,1631
CEC,1629
BQN,1528
BTM,1507
IYK,1491
LYH,1434
PIE,1408
SPI,1398
IPL,1386
MQT,1351
COD,1335
SCC,1297
CWA,1262
ITH,1246
FLO,1244
FLG,1222
HTS,1162
DUT,1074
CDC,984
ACY,967
APF,880
SUX,818
VCT,650
PSE,647
EFD,643
LWS,631
OAJ,555
VIS,544
TUP,468
AKN,466
TEX,438
DLG,366
RFD,354
ORH,335
HVN,330
TTN,274
ROW,271
BLI,262
EWN,249
ISO,239
HHH,236
PMD,179
CMX,175
SLE,167
ILG,163
ALO,160
RKS,148
ADK,134
YKM,134
OTH,125
LMT,122
GCC,120
HKY,98
LNY,91
RHI,91
MKK,90
PLN,83
MAZ,60
MTH,16
EAU,12
OGD,6
CKB,6
PIR,5
CYS,3
PVU,2
BFF,1
