source,count
ORD,949056
ATL,942098
DFW,807616
LAX,595518
PHX,520449
IAH,469096
DEN,460560
DTW,419719
LAS,419448
MSP,392374
EWR,386627
SFO,356559
BOS,335371
CLT,333619
STL,317077
PHL,315901
LGA,314862
SLC,313015
CVG,308490
MCO,302264
SEA,282136
BWI,265787
DCA,244557
SAN,226150
IAD,225180
JFK,216378
PIT,210998
MDW,202423
CLE,202215
TPA,198830
MIA,188710
OAK,178982
FLL,171065
SJC,167347
MCI,164320
HOU,158497
MEM,157893
BNA,156993
PDX,153497
DAL,134274
RDU,134172
MSY,130635
SMF,125385
SNA,124141
AUS,119916
SAT,110577
IND,107544
CMH,103773
ABQ,103207
ONT,100170
BDL,92343
HNL,85956
BUR,79191
PBI,78933
JAX,78184
RNO,76389
PVD,72932
SJU,69631
RSW,66863
BUF,62766
OKC,62307
ELP,62172
SDF,61954
TUS,59876
TUL,59806
MKE,59308
OMA,58179
BHM,57421
ORF,53289
ANC,51277
MHT,48428
RIC,48081
ROC,44441
LIT,43683
GSO,42290
ALB,41293
BOI,39152
GEG,38706
COS,36722
GRR,36322
DAY,35400
SYR,34403
OGG,31655
PSP,30445
DSM,29327
CHS,28858
JAN,28538
GSP,28074
ISP,27659
TYS,27514
ICT,27492
SAV,26740
FAT,24159
MSN,23337
XNA,23012
SBA,23008
LBB,22910
CAE,22651
LGB,22581
MDT,22349
HSV,21746
PWM,21401
PNS,21041
HPN,20922
MAF,20480
BTR,20301
AMA,19065
SRQ,19042
CID,18770
LEX,18705
SHV,18579
KOA,16710
CRP,16697
LIH,16649
SGF,16231
ABE,15313
BTV,15255
GRB,14697
HRL,14061
CAK,14009
MYR,13712
FAI,13646
MRY,13273
MOB,13076
FNT,12279
FWA,11790
FSD,11739
GPT,11482
VPS,11174
EUG,10899
BIL,10863
MLI,10779
JNU,10681
SBP,10659
LAN,10376
MFE,10220
MBS,10017
MFR,9928
TLH,9394
AZO,9365
STT,9357
FAR,9329
SBN,9153
DAB,9057
BZN,8886
EVV,8884
ROA,8721
PHF,8640
CHA,8558
CRW,8361
GTF,8277
ITO,8251
PIA,8164
BGR,8134
TOL,8109
ILM,7990
MSO,7866
LFT,7810
AVL,7808
RAP,7767
BFL,7261
RST,7173
SWF,7139
LNK,6859
MGM,6732
GJT,6713
MLU,6469
MLB,6346
KTN,6296
PSC,6245
AGS,6053
TVC,6038
AVP,5987
BMI,5913
ATW,5859
ACV,5764
EGE,5603
FCA,5550
ABI,5549
JAC,5546
CMI,5366
ACT,5330
BIS,5313
GRK,5248
TYR,5237
CLL,5119
TRI,5099
IDA,5010
SGU,4981
PFN,4933
RDM,4883
FSM,4767
LAW,4704
LRD,4641
SPS,4532
CPR,4520
AEX,4478
DLH,4464
SJT,4305
ILE,4143
SUN,4130
MTJ,4098
LSE,4036
DRO,3945
YUM,3925
FAY,3906
HLN,3662
HDN,3606
CLD,3562
GNV,3326
SIT,3285
CHO,3270
EKO,3212
BRO,3111
BET,3095
TWF,3038
MOT,3030
RDD,3007
TXK,2991
MOD,2984
ERI,2962
SMX,2938
GFK,2885
OME,2850
EYW,2791
ASE,2786
PIH,2778
OTZ,2770
DHN,2769
BGM,2681
CSG,2615
DBQ,2571
GGG,2534
OXR,2437
BPT,2226
LCH,2194
BRW,2171
ABY,2035
ELM,2030
WRG,2024
CDV,2024
PSG,2024
YAK,2024
GTR,2004
ADQ,1995
VLD,1883
STX,1848
SCE,1841
CIC,1839
MCN,1835
BQK,1797
MEI,1706
BTM,1618
CEC,1597
IYK,1560
BQN,1542
IPL,1495
LYH,1460
PIE,1442
MQT,1407
FLG,1383
COD,1379
ITH,1368
GUC,1361
FLO,1306
SCC,1279
SPI,1261
CWA,1201
HTS,1143
CDC,1079
ACY,1023
DUT,986
SUX,863
APF,829
EFD,799
VCT,739
AKN,724
LWS,693
DLG,587
VIS,562
OAJ,539
RFD,516
HHH,468
PSE,466
ORH,364
TUP,363
ISO,342
TTN,325
EWN,288
HVN,281
LWB,258
TEX,245
ROW,231
BLI,230
GCC,188
CMX,175
SLE,175
PMD,171
ILG,170
ADK,146
MKG,144
YKM,134
ALO,131
RKS,124
MTH,105
MKK,93
LNY,92
HKY,62
SOP,57
EAU,56
RHI,30
PLN,29
ACK,18
FMN,2
GLH,2
GST,1
MKC,1
