ConsumerReportCount,_c3,_c16,_c17
449,1,HPN,PIT
6231,1,ORD,SAN
752,1,PIT,SBN
3566,1,SFO,MSP
5683,1,DSM,ORD
1026,1,HNL,ORD
5296,1,BNA,DFW
2113,1,LAS,HOU
1128,1,ONT,ATL
1,1,ANC,YAK
215,1,ANC,DLG
617,1,MCO,ROC
1206,1,OAK,ABQ
1660,1,RDU,MDW
619,1,ISP,ATL
1487,1,ATL,MLI
160,1,IPL,SAN
49,1,SJC,SBP
330,1,SMF,LGB
114,1,PWM,CLT
77,1,SLC,PIT
77,1,PIT,SLC
124,1,GRR,DEN
105,1,DTW,SGF
177,1,ROW,DFW
1,1,ATW,LEX
1,1,ABQ,GJT
3263,1,SEA,RNO
1326,1,JNU,SIT
8502,1,LAX,SMF
212,1,CMH,MIA
16651,1,LAX,OAK
3624,1,CLE,EWR
815,1,STL,JAX
2624,1,DTW,BDL
682,1,TRI,CLT
4714,1,LBB,DAL
3911,1,PHL,PHX
161,1,OGG,STL
1053,1,GRR,DFW
2790,1,DEN,MDW
105,1,SJC,BWI
153,1,JFK,SAV
1,1,SJC,SFO
78,1,CVG,MOB
1,1,OAK,TWF
364,1,ALB,MDW
35,1,GRR,LAS
39,1,CLE,ERI
38,1,DAY,BOS
73,1,LAX,EUG
87,1,PBI,SWF
7,1,YUM,LAS
6,1,FAT,TUS
1,1,RDU,FAY
1,1,TUS,GJT
7731,1,SEA,PHX
6216,1,PHL,PIT
3034,1,MFR,SFO
1646,1,OGG,SFO
864,1,IAD,SJU
571,1,CDV,YAK
1494,1,IAH,MKE
433,1,ONT,ORD
1417,1,CVG,PDX
2539,1,SJU,PHL
3569,1,JAN,DFW
2108,1,GSO,EWR
1291,1,DTW,ABE
60,1,PVD,BGR
1330,1,SEA,CVG
179,1,PWM,DCA
6998,1,BUR,PHX
842,1,IAD,CMH
438,1,IAD,SMF
181,1,MSP,TVC
191,1,ANC,IAH
2857,1,BUF,JFK
746,1,ATL,OAK
458,1,OKC,EWR
1618,1,IAH,LIT
353,1,LGA,TYS
71,1,TVC,CVG
417,1,DFW,GPT
81,1,EUG,LAS
492,1,MCI,LGA
8196,1,ATL,MSP
1540,1,BNA,MSY
2560,1,ORD,ORF
1709,1,DEN,GEG
3552,1,PIT,IAH
3823,1,MSP,LAS
5309,1,SMF,LAS
3879,1,STL,BWI
1021,1,CMH,DEN
296,1,LAX,GEG
1600,1,STL,JFK
2083,1,PHL,BUF
184,1,IAD,BHM
2046,1,TVC,ORD
185,1,OAK,OGG
93,1,ORD,ORH
564,1,MCO,MKE
887,1,ROC,BWI
965,1,FAR,ORD
25,1,SGU,CDC
681,1,MDT,CLE
168,1,TLH,MCO
256,1,SLC,TPA
121,1,GRB,ATL
