_c9,Cancelled
1,543
10,625
100,540
1000,119
1001,412
1002,317
1003,457
1004,513
1005,436
1006,409
1007,397
1008,467
1009,454
101,656
1010,570
1011,489
1012,479
1013,149
1014,440
1015,429
1016,313
1017,406
1018,347
1019,517
102,567
1020,587
1021,550
1022,498
1023,766
1024,585
1025,539
1026,429
1027,612
1028,510
1029,407
103,335
1030,389
1031,420
1032,383
1033,442
1034,348
1035,456
1036,341
1037,487
1038,434
1039,357
104,532
1040,359
1041,371
1042,507
1043,398
1044,459
1045,396
1046,419
1047,381
1048,532
1049,452
105,518
1050,471
1051,474
1052,521
1053,405
1054,410
1055,649
1056,491
1057,516
1058,464
1059,430
106,580
1060,476
1061,545
1062,410
1063,409
1064,426
1065,566
1066,398
1067,628
1068,408
1069,616
107,501
1070,439
1071,370
1072,372
1073,425
1074,454
1075,507
1076,608
1077,655
1078,430
1079,469
108,488
1080,336
1081,523
1082,598
1083,547
1084,404
1085,510
1086,566
1087,559
1088,403
1089,489
109,445
1090,448
1091,418
1092,375
1093,488
1094,517
1095,406
1096,464
1097,557
1098,416
1099,424
11,697
110,651
1100,396
1101,415
1102,584
1103,539
1104,391
1105,501
1106,525
1107,582
1108,447
1109,621
111,561
1110,432
1111,355
1112,726
1113,205
1114,715
1115,585
1116,516
1117,433
1118,440
1119,589
112,485
1120,552
1121,581
1122,688
1123,505
1124,470
1125,483
1126,395
1127,366
1128,469
1129,584
113,232
1130,610
1131,420
1132,405
1133,469
1134,358
1135,507
1136,462
1137,525
1138,554
1139,595
114,485
1140,647
1141,423
1142,452
1143,487
1144,599
1145,598
1146,531
1147,533
1148,458
1149,642
115,612
1150,388
1151,555
1152,593
1153,607
1154,485
1155,520
1156,587
1157,601
1158,586
1159,616
116,509
1160,493
1161,543
1162,556
1163,436
1164,540
1165,521
1166,394
1167,436
1168,478
1169,435
117,560
1170,686
1171,492
1172,542
1173,436
1174,514
1175,666
1176,467
1177,527
1178,425
1179,425
118,684
1180,479
1181,647
1182,590
1183,493
1184,690
1185,624
1186,621
1187,621
1188,564
1189,624
119,499
1190,511
1191,556
1192,482
1193,451
1194,488
1195,589
1196,417
1197,596
1198,421
1199,538
12,758
120,519
1200,587
1201,496
1202,506
1203,470
1204,582
1205,575
1206,432
1207,500
1208,560
1209,587
121,392
1210,660
1211,468
1212,589
1213,319
1214,352
1215,516
1216,699
1217,616
1218,386
1219,610
122,753
1220,520
1221,633
1222,445
1223,682
1224,565
1225,607
1226,750
1227,423
1228,444
1229,555
123,482
1230,456
1231,572
1232,414
1233,431
1234,463
1235,351
1236,405
1237,504
1238,443
1239,464
124,646
1240,457
1241,553
1242,625
1243,424
1244,529
1245,618
1246,529
1247,445
1248,462
1249,539
125,419
1250,519
1251,402
1252,503
1253,549
1254,461
1255,473
1256,503
1257,496
1258,456
1259,486
126,554
1260,617
1261,478
1262,406
1263,425
1264,454
1265,379
1266,493
1267,466
1268,387
1269,367
127,757
1270,531
1271,464
1272,440
1273,426
1274,388
1275,451
1276,511
1277,427
1278,660
1279,586
128,592
1280,672
1281,636
1282,358
1283,413
1284,598
1285,774
1286,383
1287,562
1288,584
1289,422
129,584
1290,453
1291,439
1292,345
1293,520
1294,377
1295,456
1296,580
1297,461
1298,456
1299,434
130,659
1300,195
1301,136
1302,99
1303,165
1304,113
1305,120
1306,138
1307,97
1308,131
1309,228
131,658
1310,134
1311,112
1312,130
1314,140
1315,192
1316,115
1317,308
1318,100
1319,109
132,576
1320,221
1321,163
1322,108
1323,124
1324,167
1325,64
1326,91
1327,133
1328,180
1329,150
133,743
1330,107
1331,65
1332,141
1333,116
1334,95
1335,135
1336,151
1337,144
1338,182
1339,167
134,533
1340,53
1341,122
1342,130
1343,118
1344,134
1345,102
1346,115
1347,248
1348,130
1349,178
135,589
1350,168
1351,174
1352,176
1353,231
1354,238
1355,154
1356,198
1357,114
1358,108
1359,115
136,730
1360,177
1361,191
1362,163
1363,94
1364,168
1365,235
1366,124
1367,79
1368,94
1369,183
137,722
1370,148
1371,96
1372,302
1373,126
1374,118
1375,92
1376,112
1377,278
1378,121
1379,112
138,818
1380,159
1381,125
1382,163
1383,314
1384,75
1385,54
1386,141
1387,146
1388,90
1389,132
139,744
1390,151
1391,83
1392,173
1393,154
1394,126
1395,150
1396,136
1397,97
1398,105
1399,162
14,499
140,674
1400,495
1401,526
1402,477
1403,526
1404,625
1405,456
1406,509
1407,548
1408,548
1409,511
141,729
1410,472
1411,560
1412,507
1413,181
1414,473
1415,626
1416,475
1417,384
1418,585
1419,522
142,660
1420,324
1421,516
1422,420
1423,522
1424,511
1425,478
1426,510
1427,425
1428,418
1429,354
143,849
1430,782
1431,394
1432,513
1433,404
1434,350
1435,388
1436,615
1437,343
1438,630
1439,544
144,772
1440,389
1441,497
1442,540
1443,317
1444,391
1445,551
1446,620
1447,631
1448,427
1449,327
145,804
1450,745
1451,563
1452,557
1453,409
1454,539
1455,370
1456,547
1457,457
1458,418
1459,401
146,755
1460,478
1461,457
1462,647
1463,640
1464,471
1465,294
1466,396
1467,482
1468,518
1469,336
147,764
1470,473
1471,499
1472,456
1473,441
1474,470
1475,419
1476,557
1477,509
1478,452
1479,454
148,628
1480,483
1481,406
1482,535
1483,423
1484,752
1485,722
1486,438
1487,443
1488,580
1489,422
149,589
1490,322
1491,459
1492,510
