_c16,_c17,Diverted
PBI,DCA,61
PHL,MCO,66
MCI,IAH,111
ORD,PDX,61
SMF,BUR,37
SNA,PHX,20
GRR,PIT,11
EWR,STT,1
LAS,LIT,13
LAX,OXR,1
ROC,CLE,9
ATL,GSP,11
ADK,AKN,22
CLE,SJU,1
LNK,OMA,1
MLI,MCO,3
BFL,SAN,1
SPI,ORD,1
FSD,ATL,5
MSP,AVL,5
BUR,MRY,1
MSN,RAP,1
BQN,MCO,2
CAE,ATL,21
STL,IND,6
TPA,CVG,36
JFK,ORD,43
CVG,BDL,17
SJC,ONT,22
ICT,IAH,50
CEC,SMF,49
CLE,MCI,25
RDM,SEA,2
BMI,MCO,6
SLC,LNK,4
JAC,GJT,1
RDU,SLC,8
BTV,MCO,1
CLT,ATW,1
AUS,ELP,6
TYR,BPT,1
AUS,MCN,1
CPR,DEN,2
OTH,PDX,1
LAX,PIT,20
MYR,CLT,21
BWI,MDW,135
MSP,BOI,26
DFW,SDF,23
PVD,TPA,53
PSC,SLC,9
BOS,MEM,30
WRG,PSG,95
MCO,PVD,50
DTW,MKE,27
BOS,CVG,26
FAT,LAX,16
FLL,PVD,10
ORD,FWA,13
ORD,ORH,10
MCO,SFO,7
OMA,TWF,2
IAD,BGM,5
PHX,CDC,4
HOU,PHL,13
PSP,GJT,8
DFW,PNS,51
JFK,BTV,10
JFK,SRQ,3
ATL,HDN,2
MLI,MSP,4
PVD,LAS,1
IND,IAH,119
CHS,ATL,34
SMF,PHX,36
BOS,MSP,50
CLT,CHS,15
CVG,ORD,69
EWR,CMH,22
SRQ,CVG,17
ORD,BUF,74
SFO,BOI,8
IND,TPA,15
DFW,HOU,74
BPT,DFW,3
ADQ,ANC,2
BUF,BWI,20
AUS,CLE,8
CAK,ATL,42
ORD,CAE,18
IAH,TXK,3
SBA,LAX,7
DEN,ANC,14
MIA,BNA,3
MLB,CVG,1
KOA,PHX,3
HPN,MCO,7
FAR,DEN,3
PBI,MCO,1
ISP,PVD,1
RDU,HPN,1
ORD,MYR,2
SMF,OGG,1
