_c16,_c17,Cancelled
PHL,MCO,19
ORD,PDX,8
ATL,GSP,30
PBI,DCA,4
SNA,PHX,22
SMF,BUR,13
CLE,SJU,1
MCI,IAH,5
SJC,ONT,21
CVG,BDL,12
TPA,CVG,20
CAE,ATL,31
STL,IND,9
AUS,ELP,4
BWI,MDW,40
DTW,MKE,35
MSP,BOI,7
MYR,CLT,11
BOS,CVG,20
PSC,SLC,7
FAT,LAX,54
ORD,FWA,68
ORD,ORH,16
WRG,PSG,17
LAX,PIT,6
DFW,SDF,8
BOS,MEM,7
MCO,PVD,5
PVD,TPA,2
CLT,CHS,13
ISP,PVD,7
BUF,BWI,17
SMF,PHX,33
BOS,MSP,59
CVG,ORD,294
SFO,BOI,1
ORD,BUF,18
CHS,ATL,29
CAK,ATL,2
SBA,LAX,32
BPT,DFW,11
DFW,HOU,94
RDU,HPN,24
ADQ,ANC,42
IND,IAH,3
MIA,BNA,2
EWR,CMH,8
MDT,PIT,12
IAD,SEA,9
MCI,DEN,14
DEN,ABQ,11
SLC,CVG,6
FCA,MSO,1
LAX,SBP,21
MIA,DTW,8
STL,BWI,8
MCO,MHT,4
SEA,RNO,9
PHX,TUL,1
IND,STL,12
BNA,SAN,1
CLE,DEN,2
SJU,DTW,1
BOS,PWM,46
BOS,JFK,59
SEA,DTW,5
GEG,MSP,4
RDU,CVG,14
PHX,DFW,34
LAS,ORD,15
SNA,SFO,68
STL,ORF,7
PIT,BUF,10
PHX,TUS,27
BOS,LAS,6
CLE,IAH,2
LAX,MCO,3
FLL,BWI,3
PHL,CLE,5
PIT,JFK,34
MDT,DTW,25
COS,ORD,4
PNS,CLT,5
LAX,DFW,46
PDX,CVG,6
PHL,IAH,16
TVC,DTW,14
CLT,PBI,5
KOA,SFO,1
BWI,DEN,2
CLT,SJU,1
SLC,STL,3
CLT,MIA,4
MSP,SLC,11
MCO,MEM,6
BTV,ORD,12
EUG,SFO,2
ATL,ALB,12
LAS,CMH,9
ICT,DFW,56
LGA,PWM,54
HPN,RDU,24
LIT,MEM,13
SLC,ANC,2
DEN,CLE,4
MDW,TPA,5
DTW,PHL,142
PHL,IND,17
CLT,STT,1
DAL,IAH,84
IAH,DEN,11
PHX,ATL,20
CVG,ALB,11
VPS,ATL,11
ATL,SRQ,17
BDL,RDU,55
DCA,EWR,14
PHX,DTW,7
MIA,TPA,4
SLC,IAH,6
MEM,MCO,3
BNA,MIA,2
EWR,TPA,4
CLT,SYR,3
CLT,SRQ,2
JFK,MIA,1
AMA,DAL,64
BOI,RNO,4
DEN,SEA,26
DCA,ORD,251
BDL,ATL,23
XNA,DFW,100
RNO,SEA,11
PHL,MSY,7
PHL,ROC,25
MSP,BWI,15
MSP,GEG,3
BOS,DEN,14
MSY,DEN,7
MCO,PIT,11
DFW,MSY,28
FLL,ATL,21
ATL,LGA,96
LGA,CVG,19
SJU,STT,2
STL,SMF,1
PSP,SEA,4
BDL,BNA,1
STL,PDX,1
MIA,STL,3
MSP,SAT,3
ATL,PIT,45
LAS,SLC,16
DTW,GRR,36
ABE,CLT,9
DFW,SEA,15
DFW,AMA,54
SJC,PDX,81
DFW,SJT,17
PSP,DFW,4
SMF,DFW,8
PHX,IND,7
SJC,PSP,2
SYR,CLT,4
MHT,PHL,33
DAY,PIT,11
BNA,CLT,16
ISP,BOS,47
SJC,ORD,22
DFW,TYR,42
LGA,ORF,31
STL,DCA,20
MSP,TUS,1
SJU,BDL,7
DEN,CLT,4
LGB,JFK,7
PIT,DTW,19
MEM,EWR,43
MEM,BHM,7
SEA,LAX,121
DAY,ATL,15
ONT,SLC,25
MCI,SLC,24
DFW,ILE,51
SFO,STL,6
CMH,DCA,3
SLC,OAK,1
TUL,HOU,22
BGR,BOS,100
MSP,BOS,33
MSP,MOT,10
ORF,DTW,16
ATL,ORD,190
DEN,SMF,2
MOB,ATL,38
ATL,TUL,19
TLH,ATL,12
FSM,DFW,39
LSE,ORD,48
ORD,TUL,14
SNA,PIT,1
PHL,ATL,96
DAL,SAT,267
ORF,BWI,31
STL,CLE,29
BOS,BWI,63
GTF,FCA,7
BHM,DTW,14
CLE,MEM,7
OKC,TUL,6
TYR,DFW,49
ORD,PIA,58
LGA,BNA,13
SNA,PDX,16
ABI,DFW,26
CLT,ROC,3
EWR,JAX,3
SAN,PIT,2
BWI,ISP,28
IND,MDW,7
DFW,ORD,222
PHL,RIC,28
EWR,FLL,11
PHX,IAH,28
EWR,STL,27
ELP,DAL,31
STL,BNA,4
PDX,SEA,5
HRL,SAT,2
IAH,TUS,2
EWR,SAN,2
ATL,MEM,43
BDL,MSP,11
ORD,BDL,36
CVG,EWR,24
DFW,ACT,21
TPA,MIA,12
ORD,ELP,8
DFW,FAT,3
CLT,IND,11
EWR,SLC,3
LGA,GSO,2
IAH,ABQ,3
HOU,LIT,1
CLE,PHL,2
MEM,GRR,4
CLE,CVG,18
RDU,CMH,18
SIT,JNU,10
PIT,DFW,11
MCO,BWI,8
BNA,BWI,12
SJC,IAD,4
DEN,IAH,9
BDL,LAS,3
PBI,ISP,1
RDU,CLT,33
MSP,DTW,120
TPA,DFW,14
MHT,CVG,13
STT,ATL,3
CMH,DFW,28
HSV,ORD,22
MSY,EWR,8
STL,SAT,7
RSW,CLE,1
SJU,MCO,2
PDX,IAH,1
MCI,PDX,1
MCI,TPA,1
IAD,JFK,46
BNA,MEM,18
DEN,SFO,45
ORD,DCA,227
SNA,ATL,10
ATL,CAK,2
MSY,CVG,15
SDF,CVG,4
SEA,SLC,8
DEN,SNA,13
SLC,SMF,4
MFE,DFW,8
PDX,PHX,19
STL,SAN,1
LAX,MIA,3
TPA,CLE,1
SAT,LAX,1
PIT,PHX,2
PHL,MHT,29
SJC,RNO,6
HOU,TUL,8
SLC,MSP,9
MOT,MSP,16
MCI,CVG,18
DFW,PDX,9
MHT,MCO,10
EYW,MIA,8
SMF,PDX,2
MSY,DTW,9
PIT,SNA,1
RDU,PHL,111
RNO,LAX,13
LAS,SAN,25
MDW,ISP,5
DFW,MEM,71
PBI,ATL,31
TUS,PHX,34
ATL,IAH,47
ORD,MKE,142
DFW,DSM,10
ANC,AKN,4
SAT,RDU,1
STL,COS,1
CLT,MYR,7
HRL,HOU,90
AUS,ORD,36
ORD,CMH,115
DEN,SJC,21
GSO,ORD,10
COS,ATL,12
BWI,ATL,39
BWI,CVG,14
BUR,DFW,9
DFW,BHM,8
MSO,GTF,1
HOU,MDW,3
IND,MCO,6
STT,MIA,1
RIC,PHL,31
PHL,ORF,33
DTW,GRB,16
GRB,DTW,16
BDL,ORD,51
TUL,OKC,1
ATL,PVD,12
LAW,DFW,28
DFW,SLC,16
MSP,SJC,6
CLE,PBI,1
ELP,AUS,5
MSP,PVD,3
ATL,CLT,95
PHL,IAD,3
BOS,DCA,85
HOU,OKC,2
OMA,ORD,58
DFW,IND,11
EWR,PHX,14
LAS,ABQ,14
SJU,ORD,5
SAN,SFO,29
SFO,EUG,2
SFO,PIT,2
BDL,CVG,14
DFW,DCA,54
TYS,DFW,25
JAN,DFW,41
CLE,LGA,109
DTW,SBN,14
CVG,MEM,6
SJU,TPA,2
